time,OBS1,OBS2
10.00000000000,0.2461029072E-20,0.9626424673-110
20.00000000000,0.1139060365E-18,0.1361368531-107
30.00000000000,0.2018329786E-17,0.9668766695-106
40.00000000000,0.2285218443E-16,0.4600869017-104
50.00000000000,0.1924176157E-15,0.1650097194-102
60.00000000000,0.1301554796E-14,0.4757987682-101
70.00000000000,0.7387721289E-14,0.1148846361E-99
80.00000000000,0.3637306510E-13,0.2389382357E-98
90.00000000000,0.1589336431E-12,0.4369626844E-97
100.0000000000,0.6268908822E-12,0.7137919713E-96
110.0000000000,0.2261489481E-11,0.1054524639E-94
120.0000000000,0.7539983045E-11,0.1423196113E-93
130.0000000000,0.2342437608E-10,0.1769185903E-92
140.0000000000,0.6828386144E-10,0.2039883315E-91
150.0000000000,0.1878809470E-09,0.2194485763E-90
160.0000000000,0.4903763100E-09,0.2213954703E-89
170.0000000000,0.1219328802E-08,0.2103965962E-88
180.0000000000,0.2899189534E-08,0.1890746961E-87
190.0000000000,0.6613307053E-08,0.1612312039E-86
200.0000000000,0.1451459453E-07,0.1308636859E-85
210.0000000000,0.3072950231E-07,0.1013769372E-84
220.0000000000,0.6290341532E-07,0.7514276584E-84
230.0000000000,0.1247570298E-06,0.5341215137E-83
240.0000000000,0.2401850937E-06,0.3648271221E-82
250.0000000000,0.4496357809E-06,0.2399060289E-81
260.0000000000,0.8197622276E-06,0.1521416093E-80
270.0000000000,0.1457633679E-05,0.9319536258E-80
280.0000000000,0.2531121793E-05,0.5522227161E-79
290.0000000000,0.4297419393E-05,0.3169533963E-78
300.0000000000,0.7141976893E-05,0.1764344771E-77
310.0000000000,0.1163041970E-04,0.9536447099E-77
320.0000000000,0.1857619456E-04,0.5010478861E-76
330.0000000000,0.2912673595E-04,0.2561563489E-75
340.0000000000,0.4487079578E-04,0.1275499486E-74
350.0000000000,0.6796919622E-04,0.6191494125E-74
360.0000000000,0.1013106095E-03,0.2932367020E-73
370.0000000000,0.1486930214E-03,0.1356111590E-72
380.0000000000,0.2150302929E-03,0.6128496650E-72
390.0000000000,0.3065817360E-03,0.2708341448E-71
400.0000000000,0.4312008727E-03,0.1171214724E-70
410.0000000000,0.5985976315E-03,0.4959421941E-70
420.0000000000,0.8206065546E-03,0.2057551910E-69
430.0000000000,0.1111451377E-02,0.8368477432E-69
440.0000000000,0.1487995037E-02,0.3338540099E-68
450.0000000000,0.1969962751E-02,0.1307099266E-67
460.0000000000,0.2580125005E-02,0.5024804818E-67
470.0000000000,0.3344427058E-02,0.1897559907E-66
480.0000000000,0.4292051964E-02,0.7042637248E-66
490.0000000000,0.5455405234E-02,0.2569969283E-65
500.0000000000,0.6870011032E-02,0.9224748777E-65
510.0000000000,0.8574312285E-02,0.3258283099E-64
520.0000000000,0.1060937009E-01,0.1132914873E-63
530.0000000000,0.1301846130E-01,0.3879178684E-63
540.0000000000,0.1584657694E-01,0.1308488399E-62
550.0000000000,0.1913982796E-01,0.4349458031E-62
560.0000000000,0.2294476880E-01,0.1425205726E-61
570.0000000000,0.2730765256E-01,0.4605043890E-61
580.0000000000,0.3227363498E-01,0.1467693649E-60
590.0000000000,0.3788594675E-01,0.4615399956E-60
600.0000000000,0.4418505564E-01,0.1432444797E-59
610.0000000000,0.5120784083E-01,0.4388935322E-59
620.0000000000,0.5898680208E-01,0.1327905302E-58
630.0000000000,0.6754932572E-01,0.3968366457E-58
640.0000000000,0.7691702765E-01,0.1171654538E-57
650.0000000000,0.8710519158E-01,0.3418484472E-57
660.0000000000,0.9812231804E-01,0.9858553879E-57
670.0000000000,0.1099697954,0.2810831571E-56
680.0000000000,0.1226417015,0.7924863301E-56
690.0000000000,0.1361247399,0.2209909626E-55
700.0000000000,0.1503983118,0.6096360971E-55
710.0000000000,0.1654347179,0.1664045713E-54
720.0000000000,0.1811994866,0.4495113882E-54
730.0000000000,0.1976518148,0.1201924059E-53
740.0000000000,0.2147451170,0.3181646559E-53
750.0000000000,0.2324276354,0.8339516238E-53
760.0000000000,0.2506431568,0.2164796667E-52
770.0000000000,0.2693317596,0.5566111968E-52
780.0000000000,0.2884305974,0.1417798840E-51
790.0000000000,0.3078747012,0.3578265190E-51
800.0000000000,0.3275977801,0.8949344222E-51
810.0000000000,0.3475330072,0.2218372564E-50
820.0000000000,0.3676137741,0.5450852804E-50
830.0000000000,0.3877744024,0.1327827348E-49
840.0000000000,0.4079508015,0.3207191371E-49
850.0000000000,0.4280810638,0.7681953418E-49
860.0000000000,0.4481059914,0.1824895329E-48
870.0000000000,0.4679695492,0.4300097588E-48
880.0000000000,0.4876192429,0.1005184869E-47
890.0000000000,0.5070064209,0.2331271029E-47
900.0000000000,0.5260865018,0.5364996473E-47
910.0000000000,0.5448191285,0.1225251966E-46
920.0000000000,0.5631682562,0.2777211396E-46
930.0000000000,0.5811021751,0.6248376198E-46
940.0000000000,0.5985934765,0.1395552378E-45
950.0000000000,0.6156189679,0.3094502479E-45
960.0000000000,0.6321595422,0.6813106946E-45
970.0000000000,0.6482000096,0.1489540162E-44
980.0000000000,0.6637288983,0.3234103177E-44
990.0000000000,0.6787382297,0.6974149257E-44
1000.000000000,0.6932232752,0.1493841385E-43
1010.000000000,0.7071823002,0.3178578303E-43
1020.000000000,0.7206163004,0.6719159791E-43
1030.000000000,0.7335287353,0.1411199062E-42
1040.000000000,0.7459252633,0.2945029673E-42
1050.000000000,0.7578134815,0.6107383838E-42
1060.000000000,0.7692026740,0.1258694138E-41
1070.000000000,0.7801035709,0.2578215635E-41
1080.000000000,0.7905281196,0.5249116051E-41
1090.000000000,0.8004892709,0.1062317187E-40
1100.000000000,0.8100007796,0.2137252623E-40
1110.000000000,0.8190770215,0.4274870872E-40
1120.000000000,0.8277328268,0.8501330053E-40
1130.000000000,0.8359833292,0.1681040281E-39
1140.000000000,0.8438438308,0.3305420871E-39
1150.000000000,0.8513296835,0.6463418386E-39
1160.000000000,0.8584561840,0.1256937047E-38
1170.000000000,0.8652384835,0.2431133923E-38
